	date	run	well	timepoint	tempc	class	score	ymin	xmin	ymax	xmax	ID	centroid_x	centroid_y
470	2022-01-05	1	D2	2	26	tube_tip	0.045801833	0.020698857	0.39170554	0.04633761	0.4146829	None	0.40319422	0.03351823
478	2022-01-05	1	D2	2	26	tube_tip	0.043820612	0.0	0.84177077	0.002834944	0.865728	None	0.85374938	0.00141747
481	2022-01-05	1	D2	2	26	tube_tip	0.04303581	0.9968015	0.062690035	0.9999244	0.08935687	None	0.07602345	0.99836295
485	2022-01-05	1	D2	2	26	tube_tip	0.042506926	0.26915374	0.9967496	0.2977939	0.9991273	None	0.99793845	0.28347382
488	2022-01-05	1	D2	2	26	tube_tip	0.042028278	7.713225e-05	0.36476785	0.0022161524	0.3897422	None	0.37725502	0.00114664
489	2022-01-05	1	D2	2	26	tube_tip	0.04196236	0.52220094	0.33307385	0.55026746	0.3580799	None	0.34557688	0.5362342
498	2022-01-05	1	D2	2	26	tube_tip	0.040031727	0.7966821	0.0	0.8242489	0.0029724108	None	0.00148621	0.8104655
502	2022-01-05	1	D2	2	26	tube_tip	0.03927486	0.99632156	0.82424444	1.0	0.8511651	None	0.83770477	0.99816078
503	2022-01-05	1	D2	2	26	tube_tip	0.03899651	0.0	0.43838522	0.0023186223	0.46454397	None	0.4514646	0.00115931
507	2022-01-05	1	D2	2	26	tube_tip	0.037975773	0.0	0.39954853	0.0024251575	0.42523557	None	0.41239205	0.00121258
512	2022-01-05	1	D2	2	26	tube_tip	0.036531996	0.74948376	0.0003290116	0.7778328	0.0027624248	None	0.00154572	0.76365828
516	2022-01-05	1	D2	2	26	tube_tip	0.036016732	0.6157	0.27134815	0.63843334	0.29323158	None	0.28228986	0.62706667
520	2022-01-05	1	D2	2	26	tube_tip	0.03577633	0.9965838	0.105660036	1.0	0.132167	None	0.11891352	0.9982919
521	2022-01-05	1	D2	2	26	tube_tip	0.035685852	0.023332229	0.9962374	0.051025346	0.99973905	None	0.99798822	0.03717879
523	2022-01-05	1	D2	2	26	tube_tip	0.03545816	8.357223e-06	0.18810132	0.0023555954	0.21498355	None	0.20154244	0.00118198
530	2022-01-05	1	D2	2	26	tube_tip	0.03445444	0.9964679	0.12502937	1.0	0.15175827	None	0.13839382	0.99823395
